,GSM8408634,GSM8408642,GSM8408636,GSM8408681,GSM8408682,GSM8408604,GSM8408637,GSM8408592,GSM8408614,GSM8408577,GSM8408591,GSM8408571,GSM8408639,GSM8408569,GSM8408686,GSM8408651,GSM8408699,GSM8408589,GSM8408617,GSM8408606,GSM8408692,GSM8408635,GSM8408648,GSM8408629,GSM8408646,GSM8408612,GSM8408644,GSM8408595,GSM8408611,GSM8408594,GSM8408610,GSM8408593,GSM8408627,GSM8408626,GSM8408643,GSM8408588,GSM8408630,GSM8408656,GSM8408607,GSM8408650,GSM8408654,GSM8408608,GSM8408609,GSM8408667,GSM8408566,GSM8408679,GSM8408680,GSM8408564,GSM8408576,GSM8408638,GSM8408685,GSM8408665,GSM8408573,GSM8408666,GSM8408684,GSM8408619,GSM8408673,GSM8408631,GSM8408658,GSM8408675,GSM8408683,GSM8408670,GSM8408698,GSM8408696,GSM8408584,GSM8408657,GSM8408677,GSM8408575,GSM8408613,GSM8408567,GSM8408674,GSM8408581,GSM8408620,GSM8408622,GSM8408668,GSM8408671,GSM8408632,GSM8408669,GSM8408661,GSM8408580,GSM8408587,GSM8408693,GSM8408605,GSM8408678,GSM8408621,GSM8408660,GSM8408689,GSM8408597,GSM8408633,GSM8408691,GSM8408695,GSM8408652,GSM8408601,GSM8408628,GSM8408618,GSM8408663,GSM8408690,GSM8408572,GSM8408688,GSM8408649,GSM8408664,GSM8408585,GSM8408600,GSM8408598,GSM8408640,GSM8408578,GSM8408586,GSM8408579,GSM8408655,GSM8408582,GSM8408563,GSM8408694,GSM8408568,GSM8408653,GSM8408596,GSM8408625,GSM8408647,GSM8408687,GSM8408624,GSM8408641,GSM8408623,GSM8408583,GSM8408615,GSM8408599,GSM8408616,GSM8408662,GSM8408574,GSM8408565,GSM8408659,GSM8408602,GSM8408672,GSM8408590,GSM8408603,GSM8408645,GSM8408697,GSM8408570,GSM8408676
MZB1,6.9,5.5,5.2,4.2,4.4,5.4,3.8,4.0,4.7,6.7,4.1,6.3,3.8,4.0,5.7,4.8,4.3,4.2,4.3,4.4,4.0,5.1,4.2,5.1,4.1,3.9,4.0,5.9,4.1,5.4,5.4,7.5,4.1,4.0,4.8,7.4,4.2,4.5,8.5,5.0,4.4,5.0,4.6,4.3,3.9,4.0,4.1,3.9,7.0,3.6,3.5,3.8,4.2,3.8,3.6,4.2,4.2,3.9,4.0,4.1,4.2,4.0,3.9,3.8,4.1,3.9,3.9,7.5,4.0,3.9,3.8,3.8,3.7,4.0,3.6,3.9,4.0,3.8,3.8,4.1,4.0,4.0,4.1,3.5,3.8,4.0,3.8,3.7,3.6,3.9,4.0,3.8,3.9,3.7,4.0,3.7,4.1,3.8,4.0,4.1,4.0,4.0,4.0,3.8,4.1,3.6,3.9,3.8,3.8,3.9,4.2,3.8,4.0,4.1,4.1,3.9,4.1,4.0,4.1,5.7,3.8,7.9,4.0,3.9,4.1,3.8,4.6,3.8,3.7,3.7,4.0,10.1,7.5,6.8,5.8,6.3,8.0
IGHM,11.4666666666667,9.93333333333333,10.2333333333333,8.63333333333333,8.53333333333333,9.7,7.7,7.9,9.9,10.8333333333333,7.73333333333333,11.8333333333333,6.7,5.56666666666667,8.1,7.4,6.9,7.03333333333333,6.9,6.93333333333333,5.63333333333333,9.36666666666667,7.43333333333333,9.76666666666667,7.7,6.9,6.93333333333333,9.23333333333333,7.23333333333333,9.43333333333333,9.46666666666667,10.4,6.63333333333333,7.3,8.96666666666667,11.7,8.16666666666667,9.26666666666667,13.5666666666667,10.6666666666667,9.06666666666667,10.6,10.5,10.2666666666667,8.9,8.16666666666667,8.93333333333333,9.0,12.3,7.03333333333333,7.1,6.53333333333333,9.13333333333333,6.76666666666667,7.0,9.3,7.0,6.66666666666667,7.53333333333333,6.76666666666667,7.36666666666667,6.26666666666667,7.4,6.93333333333333,8.43333333333333,6.66666666666667,6.8,12.3666666666667,7.36666666666667,6.56666666666667,6.46666666666667,6.83333333333333,6.56666666666667,6.46666666666667,5.8,6.03333333333333,6.3,5.6,5.53333333333333,6.36666666666667,6.06666666666667,5.96666666666667,7.4,6.06666666666667,6.43333333333333,6.13333333333333,5.6,6.23333333333333,5.96666666666667,6.0,6.13333333333333,6.33333333333333,5.66666666666667,5.86666666666667,6.2,5.7,6.13333333333333,6.53333333333333,6.33333333333333,6.23333333333333,6.03333333333333,7.96666666666667,5.96666666666667,6.43333333333333,6.33333333333333,5.86666666666667,6.23333333333333,6.26666666666667,6.4,6.66666666666667,7.06666666666667,6.16666666666667,6.73333333333333,7.23333333333333,7.3,6.16666666666667,7.16666666666667,6.16666666666667,6.03333333333333,8.63333333333333,5.93333333333333,10.9666666666667,7.83333333333333,6.06666666666667,7.2,5.73333333333333,8.83333333333333,7.13333333333333,6.36666666666667,6.23333333333333,6.63333333333333,10.2,11.6333333333333,9.33333333333333,8.03333333333333,9.06666666666667,9.7
IGHG3,13.4,11.7,11.7,10.0,9.9,11.1,8.4,8.8,10.5,12.0,8.7,12.7,7.3,7.4,11.2,10.6,10.2,9.5,9.4,10.0,7.4,11.6,9.4,11.1,9.1,8.8,8.6,11.9,9.4,12.0,11.1,13.5,9.8,9.9,11.3,13.6,10.6,8.1,13.3,10.4,8.9,10.5,10.3,9.0,7.4,7.4,8.0,8.2,11.7,7.1,7.1,6.3,9.2,6.8,7.1,9.4,7.2,7.1,8.3,7.6,8.5,7.1,8.4,7.9,9.5,7.5,6.8,12.6,7.9,6.7,6.8,7.5,7.5,7.0,6.4,7.0,7.6,6.7,6.8,7.5,7.0,7.5,9.1,7.0,7.2,6.7,7.6,7.6,7.0,7.4,7.6,7.7,6.8,7.1,7.1,6.8,6.9,7.7,7.2,6.9,6.7,8.1,7.1,6.8,7.7,7.1,7.4,7.6,7.7,7.9,8.1,6.9,8.8,9.0,8.5,7.2,8.7,7.8,7.4,10.4,7.2,11.4,8.7,7.0,8.2,6.0,9.0,8.0,6.8,6.8,7.0,14.6,12.8,12.8,10.6,12.2,12.4
IGKV1-5,10.7,9.8,10.3,8.4,8.3,9.8,7.7,7.7,9.2,10.1,7.3,10.6,5.8,6.7,9.5,8.8,8.3,7.9,7.7,7.8,6.0,9.5,7.3,9.4,7.0,7.7,7.3,10.7,8.3,10.3,10.4,11.7,7.8,8.4,9.7,12.0,8.8,6.9,12.5,9.7,8.0,9.0,8.6,8.4,7.3,6.5,7.2,7.5,10.6,7.2,7.0,5.6,8.0,5.9,5.6,8.0,6.4,5.8,6.9,6.9,7.3,6.0,7.0,6.7,7.9,6.4,6.3,11.3,6.5,5.3,5.4,5.5,5.3,5.2,4.8,4.7,5.9,5.0,4.8,5.5,5.1,5.3,6.4,5.3,5.5,5.4,5.8,5.8,5.5,5.9,6.2,6.3,5.6,5.7,6.0,5.6,5.8,6.1,5.9,5.8,5.5,7.1,5.9,7.6,7.3,6.7,6.9,7.0,6.9,6.9,7.2,6.1,7.5,7.6,7.5,6.4,7.6,6.8,6.9,9.5,6.8,11.5,8.1,6.9,7.6,5.6,9.0,7.2,6.4,6.5,7.0,13.8,11.4,12.2,8.6,10.9,11.1
JCHAIN,9.95,9.0,9.0,7.85,7.75,9.4,7.2,7.75,8.9,10.5,7.8,10.8,6.15,6.85,9.7,8.7,8.15,7.8,7.9,8.35,6.45,9.1,7.2,8.8,6.95,7.45,7.4,9.7,7.75,9.6,9.3,10.6,7.25,6.8,8.25,10.8,7.2,7.7,12.5,10.0,7.9,9.0,9.35,8.3,7.95,7.5,8.0,8.05,11.2,7.15,7.0,6.4,8.85,6.6,6.5,8.55,6.8,6.35,7.55,7.4,7.7,6.45,7.75,7.15,8.5,6.75,6.85,12.15,7.15,6.8,6.55,7.0,7.0,6.5,6.45,6.75,7.3,6.35,5.9,6.75,6.25,6.65,7.5,6.1,6.4,6.15,7.05,6.8,6.15,6.75,6.85,6.85,6.3,6.4,7.2,6.6,6.75,7.2,7.0,6.55,6.3,8.95,7.5,7.8,7.25,6.9,7.3,7.05,7.25,7.6,7.9,6.8,7.9,7.8,7.95,6.6,7.95,7.6,7.25,10.1,6.6,12.05,9.2,7.3,8.4,5.9,8.95,7.6,6.55,6.7,7.05,10.5,10.3,11.05,7.8,9.4,10.1
IGHA1,10.85,9.8,9.15,8.15,7.7,9.75,7.65,7.4,9.15,10.75,7.75,11.4,6.65,7.3,10.65,9.2,8.7,8.75,8.7,8.7,6.95,10.05,8.25,10.5,8.35,8.05,7.8,10.65,7.9,11.5,10.45,11.85,8.05,7.95,9.5,12.45,9.7,7.6,12.65,10.1,9.05,9.7,10.0,9.25,7.65,7.55,7.9,8.2,11.35,7.6,7.1,6.8,10.2,7.25,7.1,9.6,7.3,7.1,8.35,7.25,8.25,6.8,7.9,7.45,9.05,7.2,7.0,12.25,7.4,6.85,7.05,7.2,7.45,7.05,6.85,7.1,8.0,6.8,6.75,7.3,7.05,6.7,7.75,6.55,6.7,6.45,7.1,7.15,6.8,6.9,7.1,7.4,6.65,6.95,7.3,6.85,7.0,7.5,7.1,6.7,6.6,9.65,7.2,8.95,7.3,7.05,7.35,7.6,7.75,7.85,8.45,7.2,9.0,8.85,8.7,7.35,8.95,7.7,7.85,11.15,8.15,13.3,10.75,8.1,9.25,6.7,10.4,8.65,7.35,7.45,7.8,11.1,9.6,10.0,8.25,9.1,9.9
