,GSM8408603,GSM8408646,GSM8408570,GSM8408563,GSM8408675,GSM8408677,GSM8408576,GSM8408618,GSM8408611,GSM8408648,GSM8408583,GSM8408693,GSM8408580,GSM8408660,GSM8408664,GSM8408622,GSM8408582,GSM8408584,GSM8408585,GSM8408623,GSM8408642,GSM8408577,GSM8408698,GSM8408607,GSM8408606,GSM8408645,GSM8408595,GSM8408640,GSM8408571,GSM8408604,GSM8408626,GSM8408667,GSM8408696,GSM8408662,GSM8408589,GSM8408673,GSM8408569,GSM8408679,GSM8408695,GSM8408564,GSM8408565,GSM8408613,GSM8408644,GSM8408638,GSM8408654,GSM8408593,GSM8408627,GSM8408602,GSM8408694,GSM8408699,GSM8408572,GSM8408594,GSM8408653,GSM8408652,GSM8408632,GSM8408616,GSM8408636,GSM8408605,GSM8408574,GSM8408671,GSM8408692,GSM8408578,GSM8408592,GSM8408639,GSM8408637,GSM8408641,GSM8408625,GSM8408690,GSM8408633,GSM8408634,GSM8408621,GSM8408691,GSM8408669,GSM8408586,GSM8408681,GSM8408635,GSM8408670,GSM8408697,GSM8408617,GSM8408590,GSM8408665,GSM8408661,GSM8408672,GSM8408651,GSM8408678,GSM8408575,GSM8408685,GSM8408610,GSM8408630,GSM8408656,GSM8408601,GSM8408657,GSM8408663,GSM8408686,GSM8408598,GSM8408608,GSM8408609,GSM8408620,GSM8408615,GSM8408619,GSM8408659,GSM8408668,GSM8408599,GSM8408689,GSM8408568,GSM8408597,GSM8408658,GSM8408567,GSM8408612,GSM8408649,GSM8408614,GSM8408650,GSM8408624,GSM8408674,GSM8408643,GSM8408655,GSM8408684,GSM8408596,GSM8408581,GSM8408683,GSM8408666,GSM8408629,GSM8408631,GSM8408628,GSM8408579,GSM8408687,GSM8408588,GSM8408680,GSM8408591,GSM8408688,GSM8408566,GSM8408587,GSM8408647,GSM8408573,GSM8408682,GSM8408600,GSM8408676
LUC7L,8.125,9.1,6.575,7.075,6.725,7.15,7.85,7.275,7.1,8.05,7.325,7.675,6.825,7.675,7.375,7.525,7.6,7.7,8.0,7.95,7.6,7.575,7.4,7.925,7.175,7.15,7.7,7.15,7.85,7.4,8.05,7.725,7.125,7.525,7.025,7.425,7.475,7.45,7.225,7.55,7.575,7.55,7.925,7.625,7.75,7.675,7.75,7.475,7.3,7.45,7.425,7.75,7.35,7.825,7.65,7.55,7.55,7.425,7.6,7.75,7.4,7.85,7.775,7.6,7.475,7.6,7.475,7.3,7.85,7.675,7.275,7.375,7.725,7.45,7.325,7.525,7.475,7.575,7.5,8.125,7.65,7.55,7.65,7.475,7.3,7.925,7.6,7.775,7.725,7.525,7.675,7.25,7.575,7.375,7.9,7.575,7.8,7.8,7.65,7.625,7.65,7.575,7.825,7.375,7.625,7.675,7.675,7.275,7.775,7.375,7.575,7.525,7.425,7.275,7.425,7.225,7.525,7.45,7.3,7.5,7.25,7.4,7.525,7.325,7.225,7.275,7.6,7.475,7.825,7.575,7.65,7.45,7.6,7.4,7.25,7.475,6.75
TRMT13,7.725,7.4,5.7875,5.675,5.425,5.325,6.4,5.85,5.45,6.0625,5.925,5.7875,5.475,6.1,5.8875,6.7125,6.2625,6.3,6.4625,6.3875,6.225,6.325,6.4,6.55,5.8,5.8,6.25,5.9125,6.675,6.125,7.125,7.075,6.1875,6.25,5.825,6.3125,6.125,6.05,5.9625,6.025,6.05,6.0,6.4625,6.3,6.35,6.4625,6.675,6.0375,5.975,6.3375,6.05,6.375,5.9625,6.325,6.375,6.3125,6.1375,6.1125,6.0375,6.3,6.075,6.3,6.5125,6.375,6.1625,6.35,5.925,6.15,6.5875,6.55,5.7875,6.075,6.425,6.125,6.125,6.425,6.25,6.3,6.1875,6.7875,6.275,6.1,6.3375,6.4625,6.2125,6.6375,6.3625,6.475,6.5,6.3875,6.525,6.1,6.25,6.3625,6.0875,6.15,6.0125,6.3375,6.0375,6.0875,6.3375,6.2,6.5625,6.3,6.25,6.2,6.4125,6.15,6.6,6.4875,6.4125,6.425,6.325,6.2,6.225,6.1625,6.55,6.4375,6.2875,6.625,6.25,6.375,6.225,6.475,6.15,6.15,6.5375,6.3125,6.35,6.3125,6.425,6.25,6.4,6.325,6.0125,6.125,5.475
PRPF38B,8.6,8.0,6.63333333333333,6.9,6.4,6.56666666666667,7.96666666666667,7.23333333333333,6.46666666666667,7.7,7.06666666666667,6.8,6.53333333333333,7.2,6.93333333333333,7.4,7.4,7.4,7.7,7.7,7.36666666666667,7.43333333333333,7.33333333333333,7.83333333333333,6.83333333333333,6.9,7.36666666666667,6.76666666666667,7.73333333333333,7.16666666666667,8.23333333333333,8.0,7.2,7.2,7.0,7.4,6.9,7.0,6.73333333333333,7.1,6.96666666666667,6.93333333333333,7.26666666666667,7.3,7.33333333333333,7.43333333333333,7.76666666666667,7.2,6.96666666666667,7.43333333333333,7.03333333333333,7.5,7.13333333333333,7.2,7.26666666666667,7.26666666666667,7.16666666666667,6.9,7.1,7.2,6.96666666666667,7.46666666666667,7.66666666666667,7.4,7.06666666666667,7.4,7.0,7.03333333333333,7.53333333333333,7.43333333333333,6.9,6.86666666666667,7.46666666666667,7.0,7.03333333333333,7.3,7.0,7.26666666666667,6.93333333333333,7.9,7.4,7.26666666666667,7.4,7.33333333333333,7.13333333333333,7.9,7.53333333333333,7.5,7.46666666666667,7.3,7.46666666666667,7.0,7.23333333333333,7.36666666666667,7.33333333333333,7.13333333333333,6.96666666666667,7.06666666666667,7.23333333333333,7.23333333333333,7.36666666666667,7.13333333333333,7.36666666666667,7.0,7.1,6.93333333333333,7.26666666666667,7.0,7.4,7.1,7.2,7.4,7.03333333333333,7.0,7.13333333333333,7.2,7.3,7.36666666666667,7.2,7.43333333333333,6.96666666666667,7.26666666666667,7.1,7.16666666666667,7.0,7.0,7.3,7.1,7.36666666666667,7.2,7.13333333333333,7.1,7.26666666666667,7.03333333333333,6.93333333333333,7.26666666666667,6.9
NKTR,10.4,10.1333333333333,8.3,8.6,8.1,8.46666666666667,9.63333333333333,8.9,8.33333333333333,9.23333333333333,8.6,8.76666666666667,8.33333333333333,8.83333333333333,8.56666666666667,9.0,8.83333333333333,9.4,9.6,9.3,9.06666666666667,9.13333333333333,9.0,9.43333333333333,8.66666666666667,8.46666666666667,9.16666666666667,8.53333333333333,9.26666666666667,9.03333333333333,9.9,9.7,9.03333333333333,8.73333333333333,8.43333333333333,8.96666666666667,9.13333333333333,9.0,8.73333333333333,8.93333333333333,8.9,9.03333333333333,9.2,9.0,9.13333333333333,9.33333333333333,9.36666666666667,8.96666666666667,8.8,8.93333333333333,9.1,9.46666666666667,9.0,8.9,9.23333333333333,9.4,9.06666666666667,9.1,9.03333333333333,9.26666666666667,8.9,9.4,9.4,9.3,9.03333333333333,9.0,8.8,8.93333333333333,9.43333333333333,9.4,8.63333333333333,8.93333333333333,9.33333333333333,9.1,8.93333333333333,8.96666666666667,9.1,9.0,8.93333333333333,9.5,8.93333333333333,8.8,8.93333333333333,8.9,8.76666666666667,9.53333333333333,9.1,9.4,9.13333333333333,9.13333333333333,9.3,8.93333333333333,8.86666666666667,8.86666666666667,9.13333333333333,9.1,8.96666666666667,8.93333333333333,9.0,8.86666666666667,9.16666666666667,8.86666666666667,9.5,8.9,9.0,8.96666666666667,9.23333333333333,8.9,9.23333333333333,9.13333333333333,9.2,9.3,9.2,8.96666666666667,8.63333333333333,8.76666666666667,8.96666666666667,9.26666666666667,9.1,9.33333333333333,8.76666666666667,8.86666666666667,8.96666666666667,9.0,8.83333333333333,8.66666666666667,9.13333333333333,9.03333333333333,9.13333333333333,8.86666666666667,9.23333333333333,8.86666666666667,8.96666666666667,9.03333333333333,8.83333333333333,9.23333333333333,7.96666666666667
TTC14,9.13333333333333,8.7,6.66666666666667,6.7,6.33333333333333,6.63333333333333,8.06666666666667,7.1,6.46666666666667,7.7,7.0,7.03333333333333,6.4,7.13333333333333,7.03333333333333,7.6,7.5,7.7,8.03333333333333,7.4,7.3,7.33333333333333,7.23333333333333,7.96666666666667,6.76666666666667,6.8,7.46666666666667,6.8,7.46666666666667,7.13333333333333,8.5,8.1,7.06666666666667,6.93333333333333,6.7,7.23333333333333,7.36666666666667,7.06666666666667,6.86666666666667,7.26666666666667,7.2,7.1,7.63333333333333,7.46666666666667,7.5,7.7,7.8,7.23333333333333,7.0,7.33333333333333,7.26666666666667,7.8,7.26666666666667,7.53333333333333,7.6,7.5,7.33333333333333,7.2,7.2,7.4,7.2,7.5,7.6,7.36666666666667,7.5,7.56666666666667,7.06666666666667,7.13333333333333,7.7,7.7,6.96666666666667,7.2,7.46666666666667,7.16666666666667,7.13333333333333,7.16666666666667,7.2,7.16666666666667,6.83333333333333,8.13333333333333,7.43333333333333,7.16666666666667,7.36666666666667,7.36666666666667,6.93333333333333,8.1,7.63333333333333,7.7,7.6,7.33333333333333,7.63333333333333,7.26666666666667,7.26666666666667,7.23333333333333,7.56666666666667,7.4,7.4,7.46666666666667,7.3,7.2,7.53333333333333,7.2,7.8,7.2,7.4,7.36666666666667,7.43333333333333,7.16666666666667,7.8,7.1,7.26666666666667,7.26666666666667,7.33333333333333,7.1,7.13333333333333,7.26666666666667,7.53333333333333,7.63333333333333,7.23333333333333,7.46666666666667,7.06666666666667,7.3,7.3,7.33333333333333,7.2,7.13333333333333,7.5,7.3,7.53333333333333,7.43333333333333,7.4,7.13333333333333,7.3,7.3,7.0,7.73333333333333,6.7
SRSF5,9.72727272727273,9.67272727272727,7.74545454545455,7.8,7.68181818181818,8.07272727272727,9.08181818181818,8.72727272727273,7.61818181818182,8.35454545454545,9.15454545454545,8.7,8.73636363636364,9.31818181818182,9.06363636363636,9.15454545454545,9.29090909090909,8.9,9.46363636363636,9.25454545454545,8.96363636363636,8.73636363636364,8.76363636363636,9.67272727272727,8.54545454545454,8.26363636363636,9.26363636363636,8.23636363636364,9.1,8.62727272727273,10.1636363636364,9.8,9.07272727272727,9.40909090909091,8.81818181818182,9.19090909090909,9.12727272727273,9.30909090909091,9.18181818181818,9.01818181818182,8.83636363636364,8.98181818181818,9.13636363636364,9.1,9.10909090909091,9.48181818181818,9.53636363636364,8.94545454545455,8.62727272727273,8.82727272727273,9.0,9.28181818181818,8.92727272727273,9.35454545454545,9.5,9.52727272727273,9.27272727272727,9.35454545454546,9.32727272727273,9.50909090909091,9.24545454545455,9.23636363636364,9.2,9.09090909090909,8.99090909090909,9.15454545454545,8.77272727272727,8.99090909090909,9.37272727272727,9.47272727272727,8.96363636363636,9.12727272727273,9.45454545454546,9.26363636363636,9.21818181818182,9.08181818181818,9.04545454545454,9.0,8.87272727272727,9.69090909090909,9.21818181818182,9.34545454545455,9.04545454545454,9.24545454545455,9.17272727272727,9.7,9.13636363636364,9.41818181818182,9.5,9.03636363636364,9.41818181818182,9.19090909090909,9.14545454545454,9.07272727272727,9.8,9.53636363636364,9.6,9.5,9.71818181818182,9.57272727272727,9.70909090909091,9.5,9.40909090909091,8.80909090909091,9.4,9.57272727272727,9.42727272727273,9.16363636363636,9.47272727272727,9.31818181818182,9.32727272727273,9.54545454545454,9.54545454545454,9.23636363636364,8.85454545454546,9.22727272727273,9.30909090909091,9.8,9.30909090909091,9.56363636363636,9.42727272727273,9.40909090909091,9.75454545454545,9.30909090909091,9.4,9.23636363636364,9.55454545454545,9.39090909090909,9.6,9.5,9.63636363636364,9.38181818181818,9.5,9.46363636363636,9.24545454545454,7.24545454545455,6.93636363636364
CLK1,10.0333333333333,10.1,8.2,8.76666666666667,8.23333333333333,8.46666666666667,9.4,8.23333333333333,7.9,9.03333333333333,9.16666666666667,8.6,8.53333333333333,9.5,9.13333333333333,9.5,9.16666666666667,9.23333333333333,9.16666666666667,9.73333333333333,9.16666666666667,9.16666666666667,8.93333333333333,9.9,8.73333333333333,8.4,9.23333333333333,8.5,9.3,9.1,10.2,9.86666666666667,9.0,9.16666666666667,8.93333333333333,9.26666666666667,9.2,9.16666666666667,8.76666666666667,9.23333333333333,9.1,9.26666666666667,9.33333333333333,9.23333333333333,9.3,9.4,9.46666666666667,9.13333333333333,9.0,9.1,9.13333333333333,9.3,8.96666666666667,9.1,9.33333333333333,9.3,9.16666666666667,9.13333333333333,9.26666666666667,9.3,9.03333333333333,9.13333333333333,9.3,9.26666666666667,9.3,9.46666666666667,9.06666666666667,9.26666666666667,9.93333333333333,9.76666666666667,9.23333333333333,9.43333333333333,9.56666666666667,9.33333333333333,9.3,9.43333333333333,9.23333333333333,9.23333333333333,9.06666666666667,10.0333333333333,9.53333333333333,9.23333333333333,9.16666666666667,9.23333333333333,9.2,9.7,9.33333333333333,9.36666666666667,9.33333333333333,9.0,9.36666666666667,8.93333333333333,9.1,9.16666666666667,9.73333333333333,9.93333333333333,9.73333333333333,9.43333333333333,9.56666666666667,9.26666666666667,9.76666666666667,9.46666666666667,9.9,9.1,9.23333333333333,9.33333333333333,9.43333333333333,9.36666666666667,9.56666666666667,9.46666666666667,9.33333333333333,9.5,9.36666666666667,9.3,9.06666666666667,9.26666666666667,9.5,9.5,9.2,9.7,9.46666666666667,9.36666666666667,9.53333333333333,9.26666666666667,9.4,9.23333333333333,9.6,9.4,9.46666666666667,9.33333333333333,9.66666666666667,9.33333333333333,9.4,9.4,9.3,9.3,7.7
LUC7L3,9.8,10.02,7.5,8.08,7.4,7.7,9.1,8.44,7.78,9.22,8.4,8.44,7.96,8.96,8.64,9.64,9.28,9.34,9.5,9.36,8.72,8.86,8.68,9.5,8.46,8.28,8.64,8.04,8.94,8.48,9.7,9.38,8.92,8.96,8.4,8.86,8.82,8.82,8.58,9.06,8.82,8.94,9.38,9.02,9.3,9.16,9.34,8.92,8.7,8.9,9.14,9.14,8.84,9.22,9.36,9.32,9.04,9.16,9.16,9.16,8.78,9.06,9.24,9.0,8.94,9.06,8.76,8.78,9.48,9.34,8.7,8.96,9.44,9.06,8.98,8.96,8.92,8.78,8.74,9.64,9.02,8.96,9.02,9.04,8.86,9.46,9.12,9.26,9.16,9.1,9.36,9.06,9.0,9.02,9.26,9.26,9.36,9.4,9.36,9.3,9.5,9.2,9.76,8.86,9.34,9.3,9.44,9.24,9.64,9.16,9.0,9.12,9.2,8.96,8.84,9.16,9.24,9.52,9.16,9.38,9.24,9.12,9.42,9.16,9.12,8.96,9.42,9.18,9.4,9.16,9.42,9.22,9.3,9.14,9.02,9.14,7.04
PNISR,9.28,8.82,7.35,7.34,7.05,7.17,8.42,7.84,7.25,8.52,7.92,7.88,7.52,8.27,7.92,8.77,8.58,8.57,8.97,8.68,8.19,8.24,8.25,8.37,7.77,7.56,8.22,7.61,8.27,7.89,9.12,8.79,8.4,8.1,7.68,8.21,8.13,8.23,7.97,8.31,8.18,8.26,8.65,8.44,8.53,8.51,8.74,8.28,8.1,8.28,8.33,8.6,8.19,8.46,8.51,8.52,8.42,8.44,8.25,8.51,8.2,8.42,8.55,8.26,8.35,8.33,8.02,8.34,8.6,8.51,8.01,8.2,8.53,8.35,8.25,8.12,8.15,8.17,8.14,8.81,8.19,8.05,8.12,8.42,8.25,8.72,8.46,8.55,8.48,8.46,8.65,8.46,8.28,8.3,8.35,8.48,8.35,8.38,8.41,8.27,8.57,8.34,8.85,8.39,8.45,8.57,8.68,8.45,8.77,8.44,8.33,8.55,8.58,8.36,8.35,8.45,8.66,8.71,8.47,8.68,8.31,8.35,8.58,8.4,8.27,8.27,8.68,8.56,8.69,8.53,8.73,8.49,8.48,8.5,8.15,8.0,6.92
SRSF11,9.9,10.35,7.9,8.1,7.91666666666667,8.13333333333333,9.4,8.4,8.0,9.23333333333333,8.88333333333333,8.45,8.25,8.96666666666667,8.81666666666667,9.21666666666667,9.2,9.16666666666667,9.41666666666667,9.18333333333333,8.91666666666667,8.76666666666667,8.65,9.41666666666667,8.53333333333333,8.15,8.85,8.23333333333333,9.06666666666667,8.85,9.65,9.4,8.81666666666667,8.9,8.5,8.88333333333333,8.63333333333333,8.78333333333333,8.41666666666667,9.03333333333333,8.9,8.8,8.96666666666667,8.83333333333333,9.05,9.1,9.15,8.66666666666667,8.61666666666667,8.81666666666667,8.88333333333333,9.16666666666667,8.73333333333333,8.9,8.95,8.98333333333333,8.78333333333333,8.95,8.93333333333333,8.9,8.65,8.91666666666667,9.0,8.75,8.9,8.88333333333333,8.63333333333333,8.65,9.25,9.1,8.56666666666667,8.83333333333333,9.13333333333333,8.83333333333333,8.86666666666667,8.73333333333333,8.71666666666667,8.73333333333333,8.58333333333333,9.5,9.15,9.03333333333333,8.95,8.85,8.63333333333333,9.4,9.08333333333333,8.98333333333333,9.01666666666667,9.01666666666667,9.16666666666667,9.0,9.03333333333333,8.86666666666667,9.06666666666667,9.18333333333333,9.05,8.93333333333333,9.05,8.83333333333333,9.15,9.13333333333333,9.35,8.73333333333333,9.06666666666667,9.0,9.15,8.88333333333333,9.2,8.83333333333333,8.8,8.9,8.88333333333333,8.65,8.5,8.91666666666667,9.06666666666667,9.15,8.91666666666667,9.08333333333333,8.95,8.8,8.9,8.93333333333333,9.06666666666667,8.88333333333333,9.13333333333333,9.06666666666667,9.16666666666667,8.98333333333333,9.0,8.83333333333333,8.93333333333333,8.93333333333333,8.71666666666667,8.8,7.6
