,GSM8408634,GSM8408607,GSM8408603,GSM8408661,GSM8408633,GSM8408646,GSM8408665,GSM8408626,GSM8408667,GSM8408622,GSM8408690,GSM8408651,GSM8408654,GSM8408613,GSM8408635,GSM8408577,GSM8408580,GSM8408674,GSM8408588,GSM8408673,GSM8408647,GSM8408611,GSM8408645,GSM8408666,GSM8408675,GSM8408621,GSM8408614,GSM8408617,GSM8408625,GSM8408696,GSM8408691,GSM8408631,GSM8408685,GSM8408649,GSM8408567,GSM8408573,GSM8408594,GSM8408596,GSM8408623,GSM8408624,GSM8408677,GSM8408699,GSM8408616,GSM8408681,GSM8408581,GSM8408678,GSM8408600,GSM8408679,GSM8408640,GSM8408664,GSM8408619,GSM8408638,GSM8408632,GSM8408670,GSM8408658,GSM8408585,GSM8408612,GSM8408591,GSM8408652,GSM8408657,GSM8408586,GSM8408680,GSM8408592,GSM8408684,GSM8408601,GSM8408669,GSM8408578,GSM8408599,GSM8408641,GSM8408595,GSM8408593,GSM8408689,GSM8408598,GSM8408630,GSM8408587,GSM8408615,GSM8408636,GSM8408620,GSM8408656,GSM8408687,GSM8408698,GSM8408659,GSM8408697,GSM8408572,GSM8408686,GSM8408695,GSM8408643,GSM8408602,GSM8408605,GSM8408628,GSM8408688,GSM8408682,GSM8408692,GSM8408568,GSM8408650,GSM8408584,GSM8408618,GSM8408629,GSM8408655,GSM8408574,GSM8408671,GSM8408569,GSM8408668,GSM8408637,GSM8408582,GSM8408662,GSM8408565,GSM8408576,GSM8408694,GSM8408563,GSM8408663,GSM8408660,GSM8408672,GSM8408564,GSM8408609,GSM8408579,GSM8408608,GSM8408683,GSM8408589,GSM8408606,GSM8408571,GSM8408627,GSM8408676,GSM8408693,GSM8408653,GSM8408566,GSM8408610,GSM8408644,GSM8408648,GSM8408597,GSM8408575,GSM8408639,GSM8408590,GSM8408604,GSM8408642,GSM8408570,GSM8408583
CMPK2,5.8,5.73333333333333,5.9,5.83333333333333,5.66666666666667,5.3,6.7,6.73333333333333,6.56666666666667,7.03333333333333,5.53333333333333,5.96666666666667,6.06666666666667,5.63333333333333,5.8,6.5,6.0,6.03333333333333,6.03333333333333,5.83333333333333,6.0,5.9,5.93333333333333,5.73333333333333,5.53333333333333,5.96666666666667,6.46666666666667,6.46666666666667,7.23333333333333,6.6,5.8,6.13333333333333,7.06666666666667,5.76666666666667,6.23333333333333,6.26666666666667,6.6,6.33333333333333,6.53333333333333,7.36666666666667,5.76666666666667,6.2,6.13333333333333,5.9,5.83333333333333,5.83333333333333,6.2,6.0,6.26666666666667,5.7,6.3,6.03333333333333,6.03333333333333,6.06666666666667,6.06666666666667,6.1,6.03333333333333,5.9,5.8,6.33333333333333,5.8,5.96666666666667,6.0,5.8,6.36666666666667,5.9,6.26666666666667,6.0,6.23333333333333,6.16666666666667,6.36666666666667,5.96666666666667,6.46666666666667,6.46666666666667,5.73333333333333,5.8,6.13333333333333,5.9,5.86666666666667,5.9,6.63333333333333,6.16666666666667,6.2,6.03333333333333,6.43333333333333,6.33333333333333,6.03333333333333,6.03333333333333,6.13333333333333,5.8,5.93333333333333,5.86666666666667,6.03333333333333,5.9,6.36666666666667,5.96666666666667,5.96666666666667,6.63333333333333,6.16666666666667,6.03333333333333,5.9,6.33333333333333,5.9,6.1,6.13333333333333,6.0,6.33333333333333,6.7,6.13333333333333,6.46666666666667,6.2,5.9,6.66666666666667,6.53333333333333,5.86666666666667,5.8,5.76666666666667,5.93333333333333,6.03333333333333,6.0,6.26666666666667,6.26666666666667,5.63333333333333,5.9,6.16666666666667,5.83333333333333,6.1,5.8,5.86666666666667,6.1,6.56666666666667,6.13333333333333,6.66666666666667,5.96666666666667,6.36666666666667,6.43333333333333,7.8
IFI44L,5.96666666666667,6.6,6.83333333333333,6.53333333333333,5.9,6.16666666666667,8.1,7.56666666666667,7.66666666666667,10.2666666666667,6.9,7.43333333333333,7.4,6.63333333333333,6.6,7.7,6.73333333333333,6.73333333333333,6.56666666666667,6.06666666666667,6.43333333333333,7.1,7.06666666666667,6.16666666666667,6.33333333333333,7.23333333333333,8.23333333333333,8.46666666666667,9.93333333333333,8.76666666666667,6.86666666666667,7.3,8.8,7.13333333333333,7.86666666666667,7.93333333333333,8.73333333333333,8.16666666666667,9.63333333333333,10.1666666666667,6.86666666666667,7.46666666666667,7.4,7.23333333333333,7.06666666666667,6.86666666666667,8.03333333333333,7.5,8.1,6.46666666666667,7.7,7.5,7.43333333333333,7.46666666666667,7.93333333333333,7.93333333333333,8.06666666666667,7.4,7.26666666666667,8.5,7.53333333333333,7.53333333333333,7.56666666666667,7.66666666666667,8.33333333333333,7.6,8.73333333333333,7.9,8.2,7.63333333333333,7.8,7.36666666666667,7.96666666666667,8.33333333333333,7.16666666666667,6.76666666666667,7.46666666666667,7.03333333333333,7.16666666666667,7.3,8.2,7.63333333333333,7.53333333333333,7.3,7.76666666666667,7.73333333333333,6.96666666666667,7.26666666666667,7.46666666666667,6.86666666666667,7.26666666666667,7.06666666666667,7.36666666666667,7.16666666666667,7.8,7.33333333333333,7.4,8.13333333333333,7.8,7.46666666666667,7.26666666666667,8.03333333333333,7.2,7.23333333333333,6.93333333333333,6.8,7.7,8.33333333333333,7.4,7.9,7.43333333333333,6.93333333333333,8.0,8.3,7.4,6.6,6.63333333333333,6.8,7.03333333333333,7.1,7.46666666666667,7.2,7.03333333333333,6.76666666666667,7.46666666666667,6.93333333333333,7.3,7.33333333333333,7.76666666666667,7.66666666666667,8.06666666666667,7.8,8.26666666666667,7.03333333333333,6.1,6.6,8.13333333333333
RSAD2,5.0,5.4,5.8,5.85,5.05,4.3,7.8,7.2,7.0,9.0,5.55,5.8,5.9,5.3,5.55,7.05,6.1,6.45,6.05,5.7,5.75,5.65,5.6,5.55,5.2,6.55,7.4,7.55,8.95,8.05,6.5,6.8,8.2,6.4,7.15,7.2,7.9,7.5,8.6,9.5,5.8,6.4,6.55,6.35,6.45,6.25,6.65,6.3,6.55,5.8,6.75,6.45,6.45,6.4,6.75,6.75,6.8,6.4,6.3,7.15,6.5,6.6,6.4,6.4,7.1,6.55,7.35,6.5,6.85,6.75,6.8,6.35,6.95,7.05,6.4,6.3,6.8,6.35,6.45,6.5,7.35,6.8,6.7,6.85,7.05,7.1,6.15,6.4,6.35,6.0,6.25,6.2,6.4,6.2,6.75,6.35,6.3,7.05,6.8,6.55,6.4,6.9,6.35,6.55,6.4,6.2,6.85,7.25,6.6,7.2,6.85,6.65,7.5,7.4,6.7,5.85,5.8,5.9,6.05,6.1,6.55,6.3,5.85,5.85,6.1,6.0,6.25,6.0,6.0,6.25,6.85,6.45,7.0,5.7,5.95,6.6,8.35
MX1,5.9,7.7,8.0,7.9,6.2,6.6,9.2,8.7,8.5,10.1,6.8,7.5,7.3,6.4,6.4,8.1,6.9,6.8,7.3,6.7,6.8,7.4,7.2,6.4,6.5,7.1,8.4,8.6,10.0,8.9,7.1,7.4,9.0,7.0,7.8,7.9,9.0,8.6,9.3,10.1,6.7,7.4,7.3,7.2,7.0,6.9,7.8,7.3,8.0,6.4,7.5,7.2,7.2,7.2,8.0,7.9,8.0,7.5,7.5,8.4,7.4,7.5,7.5,7.6,8.3,7.5,9.0,7.8,8.1,8.0,8.1,7.7,8.4,8.8,7.4,6.9,7.7,7.3,7.7,7.7,8.3,8.0,7.7,7.8,8.1,8.2,7.2,7.6,7.7,7.2,7.7,7.1,7.6,7.2,7.9,7.5,7.6,8.4,7.9,7.6,7.4,8.2,7.2,7.9,7.6,7.7,8.5,9.3,8.0,8.8,8.2,7.5,8.8,8.9,7.9,6.9,7.1,7.3,7.6,7.6,8.6,8.2,8.0,7.5,7.9,7.4,7.6,7.4,8.6,8.0,8.5,8.2,9.0,7.7,7.1,7.2,9.9
IFI44,5.23333333333333,6.01666666666667,6.05,6.08333333333333,5.5,5.85,6.71666666666667,6.28333333333333,6.51666666666667,7.66666666666667,5.25,5.96666666666667,5.86666666666667,5.15,5.58333333333333,6.1,5.03333333333333,5.35,5.23333333333333,5.4,5.23333333333333,5.08333333333333,5.3,5.3,4.66666666666667,5.65,6.21666666666667,6.3,7.08333333333333,6.6,5.66666666666667,5.86666666666667,6.78333333333333,5.38333333333333,5.93333333333333,6.11666666666667,6.86666666666667,6.58333333333333,7.06666666666667,7.63333333333333,5.16666666666667,5.73333333333333,5.61666666666667,5.51666666666667,5.48333333333333,5.43333333333333,6.35,5.86666666666667,5.81666666666667,5.51666666666667,6.16666666666667,5.95,5.73333333333333,5.73333333333333,6.2,6.26666666666667,6.16666666666667,5.95,5.85,6.31666666666667,5.78333333333333,5.9,5.96666666666667,5.8,6.56666666666667,6.08333333333333,6.81666666666667,6.3,6.55,5.96666666666667,6.11666666666667,5.55,6.45,6.61666666666667,5.55,5.66666666666667,5.93333333333333,5.63333333333333,5.6,5.6,6.28333333333333,5.85,5.85,5.78333333333333,5.98333333333333,5.8,5.58333333333333,5.71666666666667,5.85,5.65,5.68333333333333,5.65,5.83333333333333,5.73333333333333,6.13333333333333,5.86666666666667,5.71666666666667,6.36666666666667,6.0,5.96666666666667,5.76666666666667,6.01666666666667,5.71666666666667,6.0,5.78333333333333,5.6,6.1,6.63333333333333,5.76666666666667,6.15,6.06666666666667,5.91666666666667,6.43333333333333,6.61666666666667,5.75,5.35,5.25,5.56666666666667,5.5,5.43333333333333,6.11666666666667,6.03333333333333,5.3,5.58333333333333,5.93333333333333,5.75,5.96666666666667,5.9,5.91666666666667,6.15,6.73333333333333,6.21666666666667,7.06666666666667,5.76666666666667,5.65,5.21666666666667,6.61666666666667
MX2,5.2,6.7,6.75,6.6,5.65,6.3,7.8,7.2,7.3,8.65,5.95,6.4,6.15,5.6,5.6,5.9,5.45,5.6,5.9,5.7,5.5,5.5,5.55,5.6,5.3,6.3,6.85,6.95,8.05,7.3,5.95,6.2,7.2,5.75,6.4,6.55,7.15,6.6,7.3,8.2,5.75,6.25,5.9,5.75,5.55,5.55,6.05,5.95,5.95,5.6,6.3,6.1,5.75,5.9,6.2,6.3,6.25,6.1,5.9,6.55,6.1,6.2,6.3,6.1,6.85,6.2,6.9,6.35,6.75,6.5,6.75,6.25,6.85,7.25,5.7,5.8,6.1,5.75,5.85,5.85,6.75,6.3,6.35,6.25,6.55,6.45,5.8,6.05,6.2,5.85,6.05,5.75,5.9,5.95,6.4,6.1,5.95,6.7,6.2,6.2,6.05,6.45,6.05,6.05,6.2,6.05,6.5,7.0,6.3,6.75,6.45,6.05,7.15,6.9,6.3,5.85,5.7,6.1,6.25,6.25,6.8,6.5,5.95,5.9,6.0,5.85,6.0,5.95,6.1,6.4,6.8,6.45,7.45,6.3,5.65,5.9,7.4
