,GSM8408618,GSM8408606,GSM8408580,GSM8408677,GSM8408563,GSM8408675,GSM8408655,GSM8408568,GSM8408661,GSM8408672,GSM8408668,GSM8408682,GSM8408564,GSM8408670,GSM8408565,GSM8408691,GSM8408615,GSM8408567,GSM8408687,GSM8408588,GSM8408660,GSM8408659,GSM8408680,GSM8408619,GSM8408662,GSM8408586,GSM8408637,GSM8408695,GSM8408581,GSM8408694,GSM8408674,GSM8408631,GSM8408678,GSM8408653,GSM8408632,GSM8408636,GSM8408628,GSM8408673,GSM8408566,GSM8408616,GSM8408579,GSM8408649,GSM8408696,GSM8408699,GSM8408605,GSM8408617,GSM8408645,GSM8408589,GSM8408698,GSM8408584,GSM8408582,GSM8408681,GSM8408569,GSM8408650,GSM8408683,GSM8408690,GSM8408663,GSM8408685,GSM8408679,GSM8408684,GSM8408578,GSM8408654,GSM8408644,GSM8408639,GSM8408647,GSM8408671,GSM8408693,GSM8408656,GSM8408689,GSM8408638,GSM8408686,GSM8408692,GSM8408585,GSM8408633,GSM8408657,GSM8408688,GSM8408597,GSM8408697,GSM8408658,GSM8408669,GSM8408629,GSM8408630,GSM8408643,GSM8408583,GSM8408590,GSM8408570,GSM8408571,GSM8408592,GSM8408667,GSM8408614,GSM8408640,GSM8408665,GSM8408601,GSM8408623,GSM8408612,GSM8408603,GSM8408634,GSM8408594,GSM8408635,GSM8408610,GSM8408625,GSM8408642,GSM8408624,GSM8408577,GSM8408627,GSM8408602,GSM8408666,GSM8408595,GSM8408604,GSM8408575,GSM8408646,GSM8408626,GSM8408651,GSM8408607,GSM8408613,GSM8408596,GSM8408598,GSM8408622,GSM8408576,GSM8408593,GSM8408609,GSM8408574,GSM8408608,GSM8408573,GSM8408620,GSM8408621,GSM8408599,GSM8408641,GSM8408652,GSM8408591,GSM8408611,GSM8408648,GSM8408572,GSM8408587,GSM8408600,GSM8408664,GSM8408676
ZFY,5.06666666666667,5.36666666666667,5.33333333333333,5.3,5.0,5.06666666666667,5.2,5.56666666666667,5.63333333333333,5.46666666666667,5.76666666666667,5.56666666666667,5.63333333333333,5.7,5.46666666666667,5.53333333333333,5.7,5.53333333333333,5.63333333333333,5.33333333333333,5.63333333333333,5.63333333333333,5.56666666666667,5.5,5.56666666666667,5.26666666666667,5.26666666666667,5.2,5.4,5.36666666666667,5.53333333333333,5.56666666666667,5.5,5.23333333333333,5.43333333333333,5.16666666666667,5.46666666666667,5.5,5.6,5.46666666666667,5.33333333333333,5.36666666666667,5.26666666666667,5.13333333333333,5.4,5.26666666666667,5.03333333333333,5.2,5.0,5.4,5.43333333333333,5.43333333333333,5.06666666666667,5.33333333333333,5.26666666666667,5.4,5.33333333333333,5.36666666666667,5.3,5.4,5.13333333333333,5.13333333333333,5.3,5.3,5.46666666666667,5.26666666666667,5.03333333333333,5.13333333333333,5.16666666666667,5.23333333333333,5.26666666666667,5.26666666666667,5.56666666666667,5.63333333333333,5.26666666666667,5.26666666666667,5.36666666666667,5.36666666666667,5.46666666666667,5.53333333333333,5.36666666666667,5.2,5.23333333333333,5.3,5.46666666666667,4.5,4.23333333333333,3.93333333333333,3.53333333333333,3.66666666666667,3.86666666666667,3.8,3.73333333333333,3.7,3.8,3.43333333333333,3.63333333333333,3.76666666666667,3.6,3.7,3.7,3.8,3.76666666666667,3.8,3.76666666666667,3.9,3.7,3.76666666666667,3.86666666666667,3.76666666666667,3.63333333333333,3.86666666666667,3.8,3.73333333333333,4.13333333333333,4.06666666666667,3.8,3.9,3.56666666666667,3.86666666666667,3.83333333333333,3.9,3.76666666666667,3.86666666666667,3.93333333333333,4.0,3.83333333333333,3.73333333333333,4.2,4.16666666666667,3.93333333333333,4.03333333333333,4.03333333333333,4.26666666666667,4.6,3.83333333333333,4.73333333333333
DDX3Y,8.1,8.075,8.05,8.025,7.9,7.825,8.7125,8.8,8.6875,8.8,8.7,8.525,8.65,8.6625,8.7,8.8125,8.825,8.5875,8.65,8.65,8.65,8.65,8.5,8.5875,8.6,8.5625,8.3625,8.1875,8.525,8.2375,8.5625,8.725,8.625,8.4875,8.7125,8.475,8.525,8.675,8.7375,8.7,8.475,8.55,8.5125,8.525,8.5375,8.475,8.05,8.575,8.2875,8.5375,8.6375,8.5375,8.675,8.75,8.8875,8.5,8.7875,8.825,8.625,8.75,8.8625,8.6375,8.7,8.575,8.725,8.6625,8.4375,8.5875,8.6375,8.525,8.7625,8.5875,8.8375,8.7875,8.7,8.8125,8.625,8.5875,8.75,8.8375,8.8875,8.975,8.6625,8.875,9.3625,6.7375,7.3125,6.0625,4.5125,4.8625,5.0,4.55,4.6875,4.7,4.925,4.7875,4.75,4.825,4.9125,4.9125,4.9625,4.8125,5.125,5.05,4.9,4.9625,4.825,4.925,4.975,4.725,4.9375,4.8375,4.725,4.3375,4.8,4.925,4.8,4.75,4.625,4.8,4.675,4.75,4.675,4.75,4.75,4.9625,4.8375,4.8625,4.975,5.575,4.85,5.9625,5.175,5.2125,4.9,4.5375,4.9625
EIF1AY,12.2,11.6,11.6,12.0,11.7,11.8,12.2,11.4,11.5,11.6,12.0,11.8,11.8,12.0,11.7,11.6,11.7,11.6,11.7,11.6,12.0,11.8,11.6,11.7,11.7,11.8,11.8,11.6,12.1,11.9,12.1,11.9,12.0,11.5,12.1,11.8,11.8,11.9,12.0,11.9,11.6,11.9,11.8,11.1,11.3,11.3,11.3,11.7,11.4,11.7,11.6,11.4,11.9,11.7,11.9,11.6,11.8,11.9,11.9,11.8,11.7,11.5,11.7,11.6,11.3,11.6,11.3,11.3,11.3,11.4,11.6,11.5,11.9,11.7,11.6,11.6,11.5,11.6,11.7,11.9,11.6,11.6,11.4,11.1,11.4,6.5,6.0,5.5,3.4,3.5,3.4,3.5,3.6,3.5,3.3,3.3,3.4,3.4,3.3,3.3,3.4,3.3,3.4,3.3,3.4,3.2,3.0,3.1,3.0,3.2,2.9,3.2,3.3,3.1,3.2,3.3,3.3,3.3,3.0,3.4,3.2,3.2,3.2,3.5,3.7,3.4,3.4,3.6,3.8,4.5,4.0,4.0,3.8,4.2,3.8,3.1,3.7
USP9Y,8.6,7.83333333333333,8.1,7.96666666666667,7.83333333333333,7.66666666666667,8.66666666666667,8.43333333333333,8.2,8.16666666666667,8.4,8.33333333333333,8.26666666666667,8.33333333333333,8.23333333333333,8.36666666666667,8.4,8.13333333333333,8.23333333333333,8.33333333333333,8.53333333333333,8.53333333333333,8.23333333333333,8.63333333333333,8.46666666666667,7.93333333333333,8.16666666666667,7.96666666666667,8.26666666666667,8.16666666666667,8.46666666666667,8.6,8.6,8.26666666666667,8.56666666666667,8.3,8.3,8.5,8.46666666666667,8.43333333333333,8.16666666666667,8.33333333333333,8.26666666666667,8.1,8.16666666666667,8.23333333333333,7.66666666666667,8.03333333333333,7.93333333333333,8.23333333333333,8.16666666666667,8.06666666666667,8.2,8.26666666666667,8.26666666666667,7.96666666666667,8.2,8.13333333333333,8.13333333333333,8.3,8.23333333333333,8.0,8.13333333333333,8.16666666666667,8.06666666666667,8.1,7.83333333333333,8.3,8.2,8.06666666666667,8.26666666666667,8.16666666666667,8.56666666666667,8.53333333333333,8.26666666666667,8.23333333333333,8.23333333333333,8.2,8.4,8.46666666666667,8.2,8.03333333333333,7.76666666666667,7.33333333333333,8.13333333333333,4.93333333333333,5.56666666666667,4.93333333333333,4.0,4.3,4.53333333333333,3.73333333333333,4.06666666666667,3.9,4.03333333333333,3.93333333333333,4.0,3.96666666666667,3.96666666666667,4.06666666666667,4.03333333333333,3.86666666666667,3.96666666666667,3.93333333333333,3.93333333333333,4.23333333333333,4.0,3.96666666666667,3.93333333333333,3.83333333333333,3.96666666666667,4.23333333333333,4.23333333333333,3.83333333333333,3.93333333333333,4.03333333333333,3.83333333333333,3.9,3.8,3.9,3.73333333333333,3.96666666666667,3.83333333333333,3.9,4.0,3.9,4.2,3.9,3.96666666666667,4.13333333333333,4.43333333333333,4.43333333333333,4.33333333333333,4.43333333333333,4.4,4.13333333333333,4.36666666666667
RPS4Y1,12.4,11.8,12.1,12.4,12.3,12.3,11.8,11.8,12.0,12.1,12.0,11.9,11.9,12.1,12.0,11.8,11.7,11.5,11.7,11.8,12.1,12.2,11.8,12.0,12.0,11.9,11.9,11.7,12.1,11.9,12.0,11.9,12.1,11.6,12.0,11.8,11.9,12.0,12.1,12.1,11.9,12.1,12.0,11.7,11.9,11.9,11.9,12.3,11.9,12.2,12.0,11.8,11.8,11.8,11.8,11.8,11.9,12.0,11.9,11.8,11.9,11.8,11.8,11.9,11.7,11.8,11.6,11.6,11.7,11.7,12.0,11.9,12.2,11.9,11.6,11.8,11.5,11.7,11.9,12.0,11.4,11.7,11.7,11.7,11.9,10.9,10.4,8.9,5.6,6.1,6.5,5.6,5.5,5.7,6.2,6.0,6.1,5.9,5.9,5.9,5.9,5.6,5.9,5.7,5.5,6.0,5.7,5.5,5.7,5.9,6.0,5.7,5.7,5.2,5.5,5.5,5.4,5.4,5.9,5.7,5.7,5.9,5.5,5.5,5.6,6.1,5.3,5.3,6.7,8.0,6.4,8.5,7.2,6.8,6.8,6.2,6.8
KDM5D,7.58,7.4,7.72,7.96,7.68,7.62,7.7,7.8,7.74,7.86,7.82,7.74,7.68,7.78,7.68,7.74,8.0,7.72,7.68,7.96,8.2,7.98,7.84,7.92,7.86,7.82,7.92,7.74,7.8,7.74,7.68,7.64,7.78,7.58,7.8,7.7,7.52,7.72,7.88,7.78,7.66,7.7,7.62,7.56,7.82,7.72,7.38,7.64,7.62,7.92,7.88,7.76,7.82,7.58,7.7,7.66,7.7,7.8,7.74,7.92,7.88,7.84,8.04,7.94,7.92,7.92,7.64,7.74,7.64,7.62,7.72,7.64,7.88,7.88,7.64,7.74,7.84,7.72,7.94,8.02,7.64,7.76,7.52,7.62,8.3,6.82,6.78,5.98,4.44,4.98,5.18,4.76,4.6,4.66,5.06,5.0,5.08,5.04,5.04,5.0,5.08,4.9,5.04,4.8,4.68,5.06,4.9,4.96,4.84,4.6,4.58,4.68,4.66,5.0,5.64,5.2,4.88,4.98,5.12,5.08,5.12,5.4,5.18,5.36,5.12,5.5,5.12,5.1,5.0,5.96,5.44,6.06,5.64,5.54,6.06,4.98,5.42
TXLNGY,5.8375,5.5625,5.7625,5.7,5.7125,5.6875,6.275,6.0375,6.0625,6.125,6.075,6.05,5.9625,6.1,5.9625,6.075,6.1125,6.0,6.0625,5.9625,5.9875,6.175,6.125,6.075,6.0875,6.0125,6.1875,6.025,6.2125,6.0625,6.15,6.175,6.175,6.25,6.35,6.1125,6.225,6.375,6.375,6.1625,6.0375,6.175,5.9625,5.9375,6.0125,5.925,5.85,5.9375,5.975,6.175,6.125,6.1625,6.2375,6.325,6.1875,6.1125,6.05,6.1875,6.175,6.225,6.225,6.2375,6.2,6.2,6.225,6.0625,5.9,6.2,6.1625,6.2375,6.1375,6.075,6.45,6.325,6.1375,6.175,6.1875,6.125,6.2,6.2,6.2375,6.3625,6.225,5.9125,6.975,5.3,5.6375,5.15,4.0875,4.2625,4.5,4.2,4.3875,4.25,4.2375,4.2875,4.375,4.3625,4.3125,4.3875,4.425,4.2125,4.45,4.375,4.275,4.5,4.35,4.2625,4.325,4.4375,4.225,4.2375,4.2625,4.3375,4.7625,4.55,4.3375,4.425,4.3125,4.5625,4.4375,4.4875,4.4125,4.375,4.275,4.4875,4.5125,4.4125,4.375,4.875,4.625,4.9625,4.5,4.5625,5.0,4.3625,4.8875
UTY,4.71818181818182,4.7,4.82727272727273,4.65454545454545,4.61818181818182,4.57272727272727,4.85454545454545,4.79090909090909,4.73636363636364,4.67272727272727,4.72727272727273,4.89090909090909,4.80909090909091,4.88181818181818,4.90909090909091,4.90909090909091,5.06363636363636,4.9,4.99090909090909,4.99090909090909,4.83636363636364,4.80909090909091,4.85454545454545,4.84545454545455,5.03636363636364,5.05454545454545,4.90909090909091,4.81818181818182,4.89090909090909,4.89090909090909,4.99090909090909,5.00909090909091,4.95454545454545,4.92727272727273,5.1,4.82727272727273,5.0,5.04545454545455,5.10909090909091,4.94545454545455,4.95454545454545,5.02727272727273,4.94545454545455,4.80909090909091,4.98181818181818,4.84545454545455,4.36363636363636,4.74545454545455,4.70909090909091,4.8,4.91818181818182,4.93636363636364,4.97272727272727,5.02727272727273,5.08181818181818,4.87272727272727,4.90909090909091,4.99090909090909,4.90909090909091,5.07272727272727,5.0,4.97272727272727,5.02727272727273,4.91818181818182,5.00909090909091,4.82727272727273,4.61818181818182,4.98181818181818,5.01818181818182,4.96363636363636,4.84545454545455,4.82727272727273,4.9,4.94545454545455,4.86363636363636,4.87272727272727,4.88181818181818,4.87272727272727,4.99090909090909,4.92727272727273,4.9,5.07272727272727,4.87272727272727,4.93636363636364,4.93636363636364,4.29090909090909,4.27272727272727,4.09090909090909,3.58181818181818,3.74545454545455,3.80909090909091,3.73636363636364,3.77272727272727,3.75454545454545,3.8,3.72727272727273,3.8,3.79090909090909,3.80909090909091,3.72727272727273,3.71818181818182,3.66363636363636,3.88181818181818,3.86363636363636,3.79090909090909,3.80909090909091,3.83636363636364,3.77272727272727,3.76363636363636,3.74545454545455,3.79090909090909,3.71818181818182,3.73636363636364,3.75454545454545,3.93636363636364,3.94545454545455,3.86363636363636,3.97272727272727,3.77272727272727,3.87272727272727,3.8,3.81818181818182,3.87272727272727,3.88181818181818,3.94545454545455,3.97272727272727,3.97272727272727,3.85454545454545,3.90909090909091,4.0,3.96363636363636,3.98181818181818,3.99090909090909,4.02727272727273,4.26363636363636,3.70909090909091,4.10909090909091
