gene,module
DTL,3
OIP5,3
GINS1,3
MCM7,3
CENPU,3
CHEK1,3
RAD51AP1,3
MCM6,3
MCM4,3
ZWINT,3
ASPM,3
MCM3,3
GINS2,3
RMI2,3
PCNA,3
PRC1,3
EZH2,3
TK1,3
STMN1,3
HMMR,3
MAD2L1,3
CEP55,3
BUB1B,3
TOP2A,3
MKI67,3
KIF23,3
NEK2,3
DLGAP5,3
NUF2,3
CCNA2,3
NCAPG,3
KIF20A,3
TTK,3
CENPA,3
RACGAP1,3
CCNB1,3
PBK,3
SPC25,3
UBE2C,3
ANLN,3
CDK1,3
ORC6,3
E2F8,3
UBE2T,3
FANCI,3
H2AFZ,3
DEPDC1,3
CDKN3,3
TRIP13,3
STIL,3
APOBEC3B,3
KIAA0101,3
FAM111B,3
NUSAP1,3
MND1,3
CDC6,3
HJURP,3
CENPK,3
NDC80,3
HELLS,3
BUB1,3
TPX2,3
FEN1,3
H2AFX,3
RRM2,3
CCNB2,3
CENPF,3
CDCA5,3
DEPDC1B,3
CCNE2,3
CDC7,3
KIF14,3
KIF11,3
UHRF1,3
CKAP2,3
CKS2,3
MCM10,3
ZNF367,3
GINS3,3
SLBP,3
RNASEH2A,3
PTMS,4
FXYD1,4
ASPDH,4
CIDEB,4
PCBD1,4
LIME1,4
C8orf82,4
SLC25A10,4
SLC2A4RG,4
PCK2,4
SARDH,4
PHLPP1,4
HAAO,4
MAOB,4
AMT,4
BBOX1,4
DGAT2,4
USH2A,4
ACOX2,4
GLYCTK,4
DCAF11,4
RFNG,4
SDC2,4
CAT,4
PBLD,4
DNAJC19,4
C11orf71,4
TCEA3,4
CASC10,4
LCAT,4
GPER1,4
GLYAT,4
TTC36,4
GALE,4
FGFR4,4
MACROD1,4
TMEM256,4
LDHD,4
IL17RC,4
CMBL,4
PXMP2,4
MPND,4
TMEM120A,4
HSD17B8,4
FUOM,4
DNAJC25,4
CTNNA3,4
SLC6A13,4
ZNF511,4
SLC27A5,4
HEXIM2,4
ENPP1,4
TMPRSS6,4
SLC47A1,4
HOGA1,4
NR1I3,4
GLS2,4
CDNF,4
NCAM2,4
KCNN2,4
MYO16,4
CYB5D2,4
ASS1,4
CD3D,5
BCL11B,5
CD48,5
IKZF1,5
GZMA,5
SLAMF7,5
CD2,5
LCK,5
TRAF3IP3,5
CD37,5
IL2RG,5
CLEC2D,5
PTPN22,5
DEF6,5
RUNX3,5
IDO1,5
SEPT1,5
APOBEC3G,5
CD8A,5
HOPX,5
SH2D1A,5
GZMK,5
RASGRP1,5
ITGAL,5
CXCR6,5
MCOLN2,5
SAMD3,5
CCL5,5
IL23A,5
GPR18,5
FASLG,5
TBC1D10C,5
THEMIS,5
CD96,5
EOMES,5
ITK,5
GPR171,5
PDE7A,5
FCMR,5
NLRC3,5
LY75,5
CD27,5
RHOH,5
CRTAM,5
TRAT1,5
TESPA1,5
CST7,5
NKG7,5
PRF1,5
KLRD1,5
CD247,5
ACAP1,5
LAT,5
PIK3CG,5
