gene,module
CD27,0
RHOH,0
CRTAM,0
TRAT1,0
TESPA1,0
CD68,0
CYTIP,0
FNBP1,0
AIM2,0
SOAT1,0
JAK2,0
SLC38A6,0
CD84,0
NCEH1,0
CST7,0
NKG7,0
PRF1,0
KLRD1,0
CD247,0
ACAP1,0
ZUFSP,0
LAT,0
RGS18,0
FUT4,0
ACTR2,0
RECQL,0
PIK3CG,0
PDGFA,0
FAT1,0
CCRL2,0
GIMAP1,0
CCDC107,0
ICAM1,0
NFKBIE,0
DDX21,0
SMC4,0
MFSD6,0
DNMT1,0
YEATS2,0
MAP3K8,0
FCRL3,0
ANXA11,0
C20orf24,0
PGP,0
EEF1E1,0
YIPF1,0
DSN1,1
KNTC1,1
CENPW,1
TTF2,1
ECT2,1
MCM2,1
TYMS,1
CDC45,1
TCF19,1
DTL,1
OIP5,1
GINS1,1
MCM7,1
CENPU,1
CHEK1,1
RAD51AP1,1
MCM6,1
MCM4,1
ZWINT,1
ASPM,1
MCM3,1
GINS2,1
RMI2,1
PCNA,1
PRC1,1
EZH2,1
TK1,1
STMN1,1
HMMR,1
MAD2L1,1
CEP55,1
BUB1B,1
TOP2A,1
MKI67,1
KIF23,1
NEK2,1
DLGAP5,1
NUF2,1
CCNA2,1
NCAPG,1
KIF20A,1
TTK,1
CENPA,1
RACGAP1,1
CCNB1,1
PBK,1
SPC25,1
UBE2C,1
ANLN,1
CDK1,1
ORC6,1
E2F8,1
UBE2T,1
FANCI,1
H2AFZ,1
DEPDC1,1
CDKN3,1
TRIP13,1
STIL,1
APOBEC3B,1
KIAA0101,1
FAM111B,1
NUSAP1,1
MND1,1
CDC6,1
HJURP,1
CENPK,1
NDC80,1
HELLS,1
BUB1,1
TPX2,1
FEN1,1
H2AFX,1
RRM2,1
CCNB2,1
CENPF,1
CDCA5,1
DEPDC1B,1
CCNE2,1
CDC7,1
KIF14,1
KIF11,1
UHRF1,1
CKAP2,1
CKS2,1
MCM10,1
ZNF367,1
GINS3,1
SLBP,1
SMC2,1
RNASEH2A,1
PTMS,2
FXYD1,2
ASPDH,2
CIDEB,2
PCBD1,2
LIME1,2
C8orf82,2
SLC25A10,2
SLC2A4RG,2
PCK2,2
SARDH,2
PHLPP1,2
HAAO,2
MAOB,2
AMT,2
BBOX1,2
DGAT2,2
USH2A,2
ACOX2,2
GLYCTK,2
DCAF11,2
RFNG,2
SDC2,2
CAT,2
PBLD,2
DNAJC19,2
C11orf71,2
TCEA3,2
CASC10,2
LCAT,2
GPER1,2
GLYAT,2
TTC36,2
GALE,2
FGFR4,2
MACROD1,2
TMEM256,2
LDHD,2
IL17RC,2
CMBL,2
PXMP2,2
MPND,2
TMEM120A,2
HSD17B8,2
FUOM,2
DNAJC25,2
CTNNA3,2
SLC6A13,2
ZNF511,2
SLC27A5,2
HEXIM2,2
ENPP1,2
TMPRSS6,2
SLC47A1,2
HOGA1,2
NR1I3,2
GLS2,2
CDNF,2
NCAM2,2
KCNN2,2
MYO16,2
CYB5D2,2
ASS1,2
PSMB8,3
PSMB10,3
IFI35,3
RARRES3,3
HCP5,3
UBE2L6,3
GBP1,3
PSMB9,3
STAT1,3
NLRC5,3
TAP1,3
CXCL11,3
HLA-A,3
HLA-B,3
RFX5,3
MX1,3
ISG15,3
OAS1,3
IFI44,3
IRF9,3
OAS2,3
EPSTI1,3
DDX60,3
IRF1,3
IFI6,3
NMI,3
HLA-F,3
CXCL10,3
RNF213,3
CXCL9,3
IFIT3,3
APOL3,3
ETV7,3
IFIT2,3
TRIM22,3
FAM26F,3
GBP5,3
CMPK2,3
RSAD2,3
HLA-E,3
IFI44L,3
TRIM21,3
SAMD9,3
IFIH1,3
RTP4,3
WARS,3
GBP4,3
TRAFD1,3
BTN3A2,3
BTN3A3,3
BTN3A1,3
PARP12,3
ZNFX1,3
TPM2,4
MSRB3,4
COL1A1,4
COL1A2,4
COL3A1,4
COL4A2,4
COL5A1,4
THBS2,4
THY1,4
PMP22,4
LUM,4
EFEMP1,4
COL4A1,4
LOXL1,4
FBN1,4
COL6A3,4
IGFBP7,4
DPYSL3,4
CCDC80,4
ITGBL1,4
DCN,4
LAMA2,4
SMOC2,4
TAGLN,4
ACTA2,4
MGP,4
MMP2,4
OGN,4
SSPN,4
AEBP1,4
LTBP2,4
MFAP4,4
ADGRA2,4
FBLN5,4
C7,4
ASPN,4
ARMCX1,4
ARMCX2,4
GPX8,4
EFEMP2,4
DPT,4
B3GALNT1,4
ZNF532,4
C1orf198,4
WBP5,4
CTBP2,4
ARF4,5
LRRC59,5
MANF,5
SDF2L1,5
DNAJB11,5
HSPA5,5
HYOU1,5
SEC61A1,5
DNAJC3,5
SRPRB,5
ARFGAP3,5
PPIL1,5
KRT7,6
EPCAM,6
TACSTD2,6
CLIC6,6
CFTR,6
CXCL6,6
MMP7,6
SLC12A2,6
IGLL3P,7
MZB1,7
IGHG3,7
POU2AF1,7
IGKV1-5,7
JCHAIN,7
IGHA1,7
TNFRSF17,7
RPS4Y1,8
EIF1AY,8
DDX3Y,8
USP9Y,8
KDM5D,8
TXLNGY,8
ZFY,8
UTY,8
HMGCS1,9
SQLE,9
NSDHL,9
FDFT1,9
HMGCR,9
IDI1,9
MSMO1,9
STIP1,10
HSPH1,10
HSPA8,10
HSP90AA1,10
HSP90AA4P,10
HSP90AB1,10
MT1G,11
MT1F,11
MT1M,11
MT1H,11
MT1JP,11
PNISR,12
LUC7L3,12
SRSF11,12
TTC14,12
TSC22D3,13
FKBP5,13
TRIM35,13
ASB13,13
RBL2,14
MPDZ,14
ZFP1,14
A1CF,14
FAM150B,15
KCNJ16,15
SFRP5,15
CLDN10,15
PDIA6,16
PDIA4,16
PDIA3,16
S100A9,17
S100A8,17
S100A12,17
PER1,18
KLF9,18
SYBU,18
LSS,19
EBP,19
FDPS,19
PER3,20
DBP,20
TEF,20
GADD45GIP1,21
ICT1,21
C19orf60,21
PLN,22
MYH11,22
CNN1,22
EMP2,23
REPS1,23
ZBTB16,23
TKFC,24
PKLR,24
DNMT3L,24
PGK1,25
IRAK1,25
ENO1,25
FCRL6,26
CD160,26
TRDC,26
RPS8,27
RPS7,27
CAB39,28
COPB2,28
PMEPA1,29
BICC1,29
DTX3L,30
PARP9,30
CCL21,31
CCL19,31
NFS1,32
HYAL1,32
CXCL8,33
CXCL1,33
HSPA13,34
UBE2J1,34
HMGCS2,35
ACAA1,35
CYP4X1,36
CYP4Z1,36
ACSS2,37
ACAT2,37
EGR2,38
CD83,38
FNIP2,39
ADGRA3,39
MORC3,40
SIRT1,40
GSTM4,41
GSTM2P1,41
CD69,42
RGS1,42
AKR1B10,43
AKR1B15,43
HLA-DQA1,44
HLA-DQB1,44
