gene,module
YWHAH,3
QPCT,3
ATP1B3,3
MOB1A,3
VIM,3
ATP6AP2,3
MSN,3
TMEM123,3
ELOVL5,3
TWF1,3
APMAP,3
ETNK1,3
STX12,3
SGPP1,3
PAPSS1,3
GNAI3,3
ACTR3,3
MGAT2,3
CAPZA1,3
ANXA5,3
ADSS,3
RHOA,3
BZW1,3
TRAM1,3
PPT1,3
IQGAP1,3
ARF6,3
FAM49B,3
CAP1,3
C6orf62,3
SERP1,3
ACTB,3
TMX1,3
ZNF267,3
TPM4,3
PELI1,3
CLIC2,3
CDC42SE2,3
ANXA2P2,3
ACTG1,3
CORO1C,3
TPP1,3
CCNL1,3
ACTR2,3
ATP6V1B2,3
CBFB,3
SEC24A,3
PDIA4,3
ACLY,3
HNRNPF,3
LIPA,3
EML4,3
NDEL1,3
DNAJA1,3
RNF138,3
RNF149,3
ANXA4,3
CYFIP1,3
ANXA2,3
EMP1,3
ABI1,3
ACAP2,3
CRLF3,3
SH3BP5,3
SNTB2,3
DUSP6,3
RP2,3
PABPC1,3
CREBL2,3
SMIM14,3
PECAM1,3
DCK,3
HPS3,3
TNKS2,3
P3H1,3
TGFBR2,3
UBE2J1,3
CSGALNACT2,3
SLBP,3
GLS,3
AGPAT5,3
LGMN,3
DMXL2,3
TRAF3IP3,4
ITGAL,4
IL2RG,4
GZMA,4
IL2RB,4
CD69,4
HLA-DOB,4
GZMK,4
SLAMF7,4
SAMD3,4
ARL4C,4
GPR18,4
CRTAM,4
RUNX3,4
LCK,4
TBC1D10C,4
PLAC8,4
GZMB,4
KLRD1,4
GPR171,4
CD3D,4
CST7,4
CD247,4
KLRB1,4
BCL11B,4
ITK,4
IRF4,4
CD8A,4
CD27,4
SH2D1A,4
IL23A,4
LAT,4
RASGRP1,4
CCL5,4
CD2,4
CD96,4
MCOLN2,4
EOMES,4
SKAP1,4
PYHIN1,4
TRAT1,4
THEMIS,4
APOBEC3G,4
NKG7,4
GZMH,4
PRF1,4
CCR5,4
TBX21,4
DGKA,4
IL7R,4
LTB,4
NELL2,4
CD6,4
TIGIT,4
TMC8,4
CD3G,4
SYTL1,4
SEPT1,4
ITGB7,4
KLRC1,4
FCRL3,4
NFE2L3,4
LEF1,4
RHOH,4
ZAP70,4
NLRC3,4
BTLA,4
LAX1,4
IL16,4
ARHGAP4,4
ASPHD2,4
PTPN7,4
GNLY,4
SLAMF1,4
CCR7,4
PIK3CG,4
FASLG,4
CXCR6,4
RASAL3,4
SIRPG,4
P2RY10,4
FCRL6,4
TESPA1,4
CD164,5
DDX3X,5
TMEM30A,5
NSF,5
RB1,5
HIF1A,5
CD46,5
PICALM,5
GOLPH3,5
SS18,5
ADAM10,5
SLC38A2,5
SNAP23,5
FNDC3A,5
CAB39,5
ITGAV,5
NEK7,5
MBNL2,5
CLIC4,5
FYTTD1,5
ARCN1,5
HIPK3,5
PJA2,5
SEC23A,5
PTTG1IP,5
TMED7,5
FAR1,5
COPB2,5
KIF5B,5
DNAJB4,5
EFR3A,5
NPY6R,5
TOMM20,5
SUN1,5
DLST,5
ATAD1,5
BTBD1,5
SLC16A1,5
DCTN4,5
DMD,5
CLASP1,5
ANK2,5
VPS45,5
ACTN2,5
HSPA4,5
TOM1L2,5
PREPL,5
MYBPC3,5
PPP1CB,5
HSPA13,5
MMGT1,5
ZRANB2,5
TRUB1,5
TACC2,5
LDB3,5
SLC25A12,5
NFE2L1,5
OGDH,5
MFN2,5
ADAM9,5
MAT2A,5
YWHAG,5
SORBS1,5
CASQ2,5
MAPRE2,5
MYOM1,5
SYNM,5
RIOK3,5
MYOM3,5
SLC8A1,5
DPF3,5
RBM24,5
TBC1D4,5
DUSP3,5
GTF2I,5
ZMYND11,5
WDR1,5
AURKAIP1,6
NDUFB11,6
COX5A,6
CYC1,6
SIRT2,6
MRPL12,6
ATP5G1,6
SMIM4,6
PPP1R16A,6
UQCRB,6
DNAJC19,6
AAMDC,6
MRPL36,6
MRPS33,6
HINT2,6
NDUFB3,6
APOO,6
NDUFB7,6
NAA38,6
NDUFB10,6
POLR2I,6
MRPS2,6
NDUFV1,6
ECSIT,6
FITM1,6
COX6A2,6
NDUFS7,6
ENDOG,6
PGAM2,6
ETFB,6
HSPB3,6
COX14,6
SPATA24,6
IMMT,7
CYCS,7
NDUFS1,7
FH,7
SUCLA2,7
MRPS35,7
DNAJA3,7
LRPPRC,7
GOT2,7
UBR3,7
DLAT,7
PDHA1,7
AIFM1,7
CLUH,7
ACO2,7
DLD,7
NNT,7
OPA1,7
HSPA9,7
ACADSB,7
UQCRC2,7
GOT1,7
MCCC2,7
PPIF,7
ATP5A1,7
ABHD10,7
AUH,7
HADHA,8
HADHB,8
ACSL1,8
ADH5,8
DCUN1D2,8
FAM219B,8
ECHDC2,8
SPHKAP,8
HSDL2,8
CUL4A,8
ACADVL,8
ACACB,8
MYZAP,8
RBFOX1,8
FSD2,8
ACAD9,8
TRIM45,8
MTUS2,8
FGF12,8
CLGN,8
COL1A1,9
COL1A2,9
COL3A1,9
COL5A1,9
SPARC,9
CCDC80,9
SEPT11,9
LRRC17,9
COL5A2,9
SERPINE2,9
THBS2,9
MXRA5,9
FBN1,9
ABI3BP,9
CLK1,10
ARGLU1,10
NKTR,10
TTC14,10
DMTF1,10
WSB1,10
TRMT13,10
LUC7L3,10
SRSF5,10
PNISR,10
LUC7L,10
PRPF38B,10
SRSF11,10
CCAR1,10
TYMS,11
CEP55,11
TOP2A,11
UBE2C,11
ANLN,11
KIAA0101,11
NUSAP1,11
ASPM,11
RRM2,11
DLGAP5,11
KIF20A,11
RPS4Y1,12
EIF1AY,12
USP9Y,12
DDX3Y,12
TXLNGY,12
ZFY,12
UTY,12
KDM5D,12
MX1,13
IFI44,13
IFI44L,13
MX2,13
