gene,module
SLC22A11,0
RBP5,0
CRYAA,0
SLC5A2,0
C17orf61,0
CCDC90A,0
NUDT6,0
DERA,0
NDFIP2,0
SLC17A1,0
SLC16A4,0
APOM,0
ANK3,0
GLB1L2,0
PNPLA1,0
PRKCE,0
NPR3,0
KCNK5,0
GCAT,0
GPT,0
XPR1,0
SEPSECS,0
GALNT11,0
DEPDC7,0
RGN,0
ACADM,0
CRYM,0
UGT3A2,0
SLC22A23,0
TINAG,0
DAB2,0
C8orf82,0
C9orf103,0
DIP2C,0
GGH,0
KIAA1543,0
TM7SF2,0
A2LD1,0
LOC388387,0
CRABP1,0
SERPINC1,0
C10orf67,0
RBKS,0
SMPDL3A,0
MTMR11,0
SLC22A12,0
HNF4G,0
CAT,0
DNAJC6,0
SDSL,0
MRO,0
HGD,0
DEPDC4,0
FOLH1,0
MYO7B,0
GBA3,0
HSD17B8,0
CALB1,0
TRPM6,0
LOC100130691,0
NAT8B,0
CYP4F2,0
KIF21A,0
HSPA4L,0
ACY3,0
SLC23A3,0
ANKS1B,0
CDH9,0
ARSF,0
FAM119B,0
CPT2,0
SLC2A5,0
CPN2,0
SLC13A1,0
SLC16A10,0
AGXT2L1,0
TMEM195,0
DMRTA1,0
NHEJ1,0
TREH,0
ACOT6,0
GLDC,0
ABCB1,0
EPHX1,0
TMEM82,0
ADM2,0
AGXT,0
GLB1L,0
SLC17A3,0
G6PC,0
C12orf59,0
RTTN,0
NECAB2,0
C18orf18,0
HIBCH,0
HYAL1,0
PLCH2,0
ZMYND12,0
DPP4,0
IFITM1,1
ALOX5,1
LYZ,1
CD53,1
ITGB2,1
HCK,1
CTSS,1
MPEG1,1
DOCK2,1
LAT2,1
CD86,1
LCP1,1
TLR8,1
CYBB,1
CLEC4A,1
LST1,1
MNDA,1
RGS18,1
March 1,1
CLEC7A,1
EVI2A,1
CSF2RA,1
NCF2,1
LAPTM5,1
LCP2,1
AOAH,1
ARHGDIB,1
CD44,1
RAB31,1
LGALS9,1
C1QA,1
HLA-DMA,1
CASP4,1
IFI16,1
MS4A6A,1
PREX1,1
RNASET2,1
CSF1R,1
STK10,1
RHOG,1
GMFG,1
AIF1,1
LYN,1
EMP3,1
FXYD5,1
FCER1G,1
CD97,1
TNFRSF1B,1
RGS19,1
TNFAIP3,1
FAM49B,1
PLEKHO2,1
C1QB,1
ALOX5AP,1
CSTA,1
TNFAIP8L2,1
GLIPR2,1
C1QC,1
BAZ1A,1
ADCY7,1
SELPLG,1
C3AR1,1
PYCARD,1
RNASE6,1
C1orf38,1
PIK3R5,1
ADRBK2,1
GLIPR1,1
FCN1,1
PRKCB,1
GIMAP4,1
TRANK1,1
PLEKHO1,1
PARP8,1
HCST,1
CSF2RB,1
EMB,1
NCF4,1
TYROBP,1
CEP110,1
CELF2,1
FLI1,1
GAB3,1
ACSL5,1
APOBEC3C,1
BATF,1
PAG1,1
LY86,1
CD300A,1
LAIR1,1
EFHD2,1
PTPN6,1
MYO1F,1
CRLF3,1
CD180,1
GIMAP2,1
TMEM173,1
C1orf162,1
TMEM71,1
GPR183,1
TNFSF13B,1
FPR3,1
LILRB2,1
LRRC33,1
LY96,1
IL10RA,1
BCL2A1,1
BTK,1
TLR7,1
NOD2,1
GPR65,1
CD40,1
NLRP1,1
ARL4C,1
C17orf87,1
ITGAM,1
CASP1,1
TNFAIP8,1
