Gene,liver_module,heart_module,kidney_module
KIAA0101,3,11,7
BUB1B,3,,7
ASPM,3,11,7
CEP55,3,11,7
TTK,3,,7
RRM2,3,11,7
CDKN3,3,,7
DTL,3,,7
KIF20A,3,11,7
TYMS,3,11,
TOP2A,3,11,7
MKI67,3,,7
CENPF,3,,7
CCNB1,3,,7
DLGAP5,3,11,7
CCNA2,3,,7
ANLN,3,11,7
CENPA,3,,7
NUSAP1,3,11,
EZH2,3,,7
KIF11,3,,7
UBE2C,3,11,7
TPX2,3,,7
BUB1,3,,7
